ILSVRC2012_val_00000001 65
ILSVRC2012_val_00000002 970
ILSVRC2012_val_00000003 230
ILSVRC2012_val_00000004 809
ILSVRC2012_val_00000005 516
ILSVRC2012_val_00000006 57
ILSVRC2012_val_00000007 334
ILSVRC2012_val_00000008 415
ILSVRC2012_val_00000009 674
ILSVRC2012_val_00000010 332
ILSVRC2012_val_00000011 109
ILSVRC2012_val_00000012 286
ILSVRC2012_val_00000013 370
ILSVRC2012_val_00000014 757
ILSVRC2012_val_00000015 595
ILSVRC2012_val_00000016 147
ILSVRC2012_val_00000017 108
ILSVRC2012_val_00000018 23
ILSVRC2012_val_00000019 478
ILSVRC2012_val_00000020 517
ILSVRC2012_val_00000021 334
ILSVRC2012_val_00000022 173
ILSVRC2012_val_00000023 948
ILSVRC2012_val_00000024 727
ILSVRC2012_val_00000025 23
ILSVRC2012_val_00000026 846
ILSVRC2012_val_00000027 270
ILSVRC2012_val_00000028 167
ILSVRC2012_val_00000029 55
ILSVRC2012_val_00000030 858
ILSVRC2012_val_00000031 324
ILSVRC2012_val_00000032 573
ILSVRC2012_val_00000033 150
ILSVRC2012_val_00000034 981
ILSVRC2012_val_00000035 586
ILSVRC2012_val_00000036 887
ILSVRC2012_val_00000037 32
ILSVRC2012_val_00000038 398
ILSVRC2012_val_00000039 777
ILSVRC2012_val_00000040 74
ILSVRC2012_val_00000041 516
ILSVRC2012_val_00000042 756
ILSVRC2012_val_00000043 129
ILSVRC2012_val_00000044 198
ILSVRC2012_val_00000045 256
ILSVRC2012_val_00000046 725
ILSVRC2012_val_00000047 565
ILSVRC2012_val_00000048 167
ILSVRC2012_val_00000049 717
ILSVRC2012_val_00000050 394
ILSVRC2012_val_00000051 92
ILSVRC2012_val_00000052 29
ILSVRC2012_val_00000053 844
ILSVRC2012_val_00000054 591
ILSVRC2012_val_00000055 358
ILSVRC2012_val_00000056 468
ILSVRC2012_val_00000057 259
ILSVRC2012_val_00000058 994
ILSVRC2012_val_00000059 872
ILSVRC2012_val_00000060 588
ILSVRC2012_val_00000061 474
ILSVRC2012_val_00000062 183
ILSVRC2012_val_00000063 107
ILSVRC2012_val_00000064 46
ILSVRC2012_val_00000065 842
ILSVRC2012_val_00000066 390
ILSVRC2012_val_00000067 101
ILSVRC2012_val_00000068 887
ILSVRC2012_val_00000069 870
ILSVRC2012_val_00000070 841
ILSVRC2012_val_00000071 467
ILSVRC2012_val_00000072 149
ILSVRC2012_val_00000073 21
ILSVRC2012_val_00000074 476
ILSVRC2012_val_00000075 80
ILSVRC2012_val_00000076 424
ILSVRC2012_val_00000077 159
ILSVRC2012_val_00000078 275
ILSVRC2012_val_00000079 175
ILSVRC2012_val_00000080 461
ILSVRC2012_val_00000081 970
ILSVRC2012_val_00000082 160
ILSVRC2012_val_00000083 788
ILSVRC2012_val_00000084 58
ILSVRC2012_val_00000085 479
ILSVRC2012_val_00000086 498
ILSVRC2012_val_00000087 369
ILSVRC2012_val_00000088 28
